Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,8672.839844,8672.839844,8435.400391,8656.530273,8656.530273,10862130000
2019-12-09,8650.860352,8768.870117,8600.820313,8734.879883,8734.879883,10656750000
2019-12-16,8791.309570,8931.910156,8789.769531,8924.959961,8924.959961,13689690000
2019-12-23,8950.200195,9052.000000,8934.360352,9006.620117,9006.620117,6507090000
2019-12-30,9004.450195,9093.429688,8909.190430,9020.769531,9020.769531,9640990000
2020-01-06,8943.500000,9235.200195,8943.500000,9178.860352,9178.860352,12518750000
2020-01-13,9213.719727,9393.480469,9193.059570,9388.940430,9388.940430,12332160000
2020-01-20,9361.070313,9451.429688,9273.230469,9314.910156,9314.910156,10205690000
2020-01-27,9092.459961,9329.120117,9088.040039,9150.940430,9150.940430,11983980000
2020-02-03,9190.719727,9575.660156,9188.549805,9520.509766,9520.509766,11834370000
2020-02-10,9493.629883,9748.320313,9493.629883,9731.179688,9731.179688,11419490000
2020-02-17,9679.040039,9838.370117,9542.330078,9576.589844,9576.589844,10214610000
2020-02-24,9188.440430,9322.879883,8264.160156,8567.370117,8567.370117,20165480000
2020-03-02,8667.139648,9070.320313,8375.129883,8575.620117,8575.620117,20200270000
2020-03-09,7957.930176,8347.400391,7194.669922,7874.879883,7874.879883,22988590000
2020-03-16,7392.729980,7422.200195,6686.359863,6879.520020,6879.520020,24387290000
2020-03-23,6847.279785,7809.830078,6631.419922,7502.379883,7502.379883,21391290000
2020-03-30,7583.459961,7880.310059,7288.109863,7373.080078,7373.080078,18479400000
2020-04-06,7660.169922,8227.910156,7617.790039,8153.580078,8153.580078,15512910000
2020-04-13,8127.689941,8670.299805,8035.950195,8650.139648,8650.139648,18544320000
2020-04-20,8553.379883,8684.910156,8215.690430,8634.519531,8634.519531,17986190000
2020-04-27,8717.980469,8957.269531,8566.839844,8604.950195,8604.950195,19803440000
2020-05-04,8555.320313,9125.980469,8537.830078,9121.320313,9121.320313,18494950000
2020-05-11,9054.910156,9250.959961,8705.250000,9014.559570,9014.559570,20624450000
2020-05-18,9177.150391,9405.250000,9154.349609,9324.589844,9324.589844,20123330000
2020-05-25,9501.209961,9523.639648,9144.280273,9489.870117,9489.870117,17669040000
2020-06-01,9471.419922,9845.690430,9462.320313,9814.080078,9814.080078,25072780000
2020-06-08,9823.440430,10086.889648,9413.620117,9588.809570,9588.809570,26190570000
2020-06-15,9426.900391,10053.910156,9403.000000,9946.120117,9946.120117,23693060000
2020-06-22,9945.490234,10221.849609,9749.070313,9757.219727,9757.219727,27718740000
2020-06-29,9771.719727,10310.360352,9663.610352,10207.629883,10207.629883,17393620000
2020-07-06,10360.379883,10622.349609,10337.980469,10617.440430,10617.440430,20345500000
2020-07-13,10729.919922,10824.780273,10182.459961,10503.190430,10503.190430,22423640000
2020-07-20,10526.019531,10839.929688,10217.309570,10363.179688,10363.179688,22334910000
2020-07-27,10421.700195,10747.799805,10397.870117,10745.269531,10745.269531,20603620000
